power_roi,power_x,power_y,power_z,matched_region_value,matched_region_name,matched_region_x,matched_region_y,matched_region_z,distance_mm
81,-44,12,-34,8211.0,Region_8211.0,-36.74437086092715,13.300662251655638,-35.36688741721854,7.496949893656442
82,46,16,-30,8212.0,Region_8212.0,44.04043807919124,13.246840775063191,-33.51811288963774,4.878205299449131
83,-68,-23,-16,8301.0,Region_8301.0,-50.036249999999995,-29.291875000000005,-24.519374999999997,20.853387146186833
84,-58,-26,-15,8301.0,Region_8301.0,-50.036249999999995,-29.291875000000005,-24.519374999999997,12.84041492587954
85,27,16,-17,4202.0,Region_4202.0,27.056451612903224,-0.5725806451612954,-18.806451612903224,16.670839314645644
86,-44,-65,35,6221.0,Region_6221.0,-44.434782608695656,-62.08184143222506,34.28303495311168,3.0362352053097017
87,-39,-75,44,6221.0,Region_6221.0,-44.434782608695656,-62.08184143222506,34.28303495311168,17.053887900077424
88,-7,-55,27,4021.0,Region_4021.0,-5.205183585313179,-44.172786177105834,23.27861771058315,11.588727767666525
89,6,-59,35,6302.0,Region_6302.0,9.688820826952522,-57.31393568147014,42.36079632465544,8.40425692804779
90,-11,-56,16,4021.0,Region_4021.0,-5.205183585313179,-44.172786177105834,23.27861771058315,15.047961983909891
91,-3,-49,13,4021.0,Region_4021.0,-5.205183585313179,-44.172786177105834,23.27861771058315,11.567835146525418
92,8,-48,31,4022.0,Region_4022.0,7.17611940298508,-43.0865671641791,20.471641791044775,11.647614693418372
93,15,-63,26,5012.0,Region_5012.0,13.18960674157303,-80.58988764044943,26.85252808988764,17.703346437830362
94,-2,-37,44,6301.0,Region_6301.0,-7.590702947845799,-57.324829931972786,46.64002267573696,21.244396695201157
95,11,-54,17,4022.0,Region_4022.0,7.17611940298508,-43.0865671641791,20.471641791044775,12.073830204517932
96,52,-59,36,6222.0,Region_6222.0,45.22831050228311,-61.23858447488584,37.31506849315069,7.252340604685276
97,23,33,48,2102.0,Region_2102.0,21.60305719921105,29.91025641025641,42.50443786982248,6.457489277240726
98,-10,39,52,2101.0,Region_2101.0,-18.772992497916093,33.48985829397054,40.95415393164768,15.14390221689085
99,-16,29,53,2101.0,Region_2101.0,-18.772992497916093,33.48985829397054,40.95415393164768,13.151073051119214
100,-35,20,51,2201.0,Region_2201.0,-33.7589965042155,31.489204194941408,34.13078346699568,20.44779619291514
101,22,39,39,2102.0,Region_2102.0,21.60305719921105,29.91025641025641,42.50443786982248,9.749978815250257
102,13,55,38,2602.0,Region_2602.0,8.75070290534208,49.52858481724462,28.92689784442362,11.415519814107418
103,-10,55,39,2601.0,Region_2601.0,-5.1737967914438485,47.887032085561486,29.63636363636364,12.710792104055617
104,-20,45,39,2101.0,Region_2101.0,-18.772992497916093,33.48985829397054,40.95415393164768,11.739149334241514
105,6,54,16,2602.0,Region_2602.0,8.75070290534208,49.52858481724462,28.92689784442362,13.952225918834483
106,6,64,22,2602.0,Region_2602.0,8.75070290534208,49.52858481724462,28.92689784442362,16.277903354308897
107,-7,51,-1,2611.0,Region_2611.0,-5.438108484005568,52.51738525730181,-8.856745479833101,8.152938897213087
108,9,54,3,2612.0,Region_2612.0,7.834112149532714,50.406542056074755,-8.516355140186917,12.120176161654431
109,-3,44,-9,2611.0,Region_2611.0,-5.438108484005568,52.51738525730181,-8.856745479833101,8.860629010325983
110,8,42,-5,2612.0,Region_2612.0,7.834112149532714,50.406542056074755,-8.516355140186917,9.113847792859238
111,-11,45,8,4001.0,Region_4001.0,-4.364285714285714,34.195714285714274,12.535714285714292,13.466179783412368
112,-2,38,36,2601.0,Region_2601.0,-5.1737967914438485,47.887032085561486,29.63636363636364,12.178762552201128
113,-3,42,16,4001.0,Region_4001.0,-4.364285714285714,34.195714285714274,12.535714285714292,8.6469316251843
114,-20,64,19,2601.0,Region_2601.0,-5.1737967914438485,47.887032085561486,29.63636363636364,24.342889475123624
115,-8,48,23,2601.0,Region_2601.0,-5.1737967914438485,47.887032085561486,29.63636363636364,7.21398008312993
116,65,-12,-19,8302.0,Region_8302.0,53.38206353668822,-32.13888107956143,-23.730671914534717,23.72615087967777
117,-56,-13,-10,8111.0,Region_8111.0,-53.435540069686425,-22.009581881533094,5.840592334494772,18.403080881251594
118,-58,-30,-4,8201.0,Region_8201.0,-55.86887899635775,-34.98421691622825,-3.584783488466215,5.436588981303559
119,65,-31,-9,8202.0,Region_8202.0,57.15990020412792,-38.565661147652534,-2.7752324790201897,12.548072525315495
120,-68,-41,-5,8201.0,Region_8201.0,-55.86887899635775,-34.98421691622825,-3.584783488466215,13.614572365319534
121,13,30,59,2102.0,Region_2102.0,21.60305719921105,29.91025641025641,42.50443786982248,18.604413913782498
122,12,36,20,4002.0,Region_4002.0,8.117288651942118,35.72277227722773,14.432597105864431,6.793252358645309
123,52,-2,-16,8122.0,Region_8122.0,47.937219730941706,13.45739910313901,-18.1898355754858,16.13173116550221
124,-26,-40,-8,5401.0,Region_5401.0,-31.389610389610397,-41.40519480519481,-21.60606060606061,14.70195081640995
125,27,-37,-13,5402.0,Region_5402.0,33.659253375694995,-40.19857029388403,-21.533756949960285,11.287227964722696
